geo_id,county_name,population_16_plus,unemployment_rate,median_household_income,per_capita_income,poverty_rate_all_people,county_fips,state_abbr
0500000US01001,"Autauga County, Alabama",47508,,69841,36227,,01001,AL
0500000US01003,"Baldwin County, Alabama",195048,,75019,40775,,01003,AL
0500000US01005,"Barbour County, Alabama",20253,,44290,25439,,01005,AL
0500000US01007,"Bibb County, Alabama",18176,,51215,26022,,01007,AL
0500000US01009,"Blount County, Alabama",47389,,61096,30656,,01009,AL
0500000US01011,"Bullock County, Alabama",8254,,36723,21462,,01011,AL
0500000US01013,"Butler County, Alabama",15120,,44881,28306,,01013,AL
0500000US01015,"Calhoun County, Alabama",94387,,55826,29571,,01015,AL
0500000US01017,"Chambers County, Alabama",27797,,49295,27868,,01017,AL
0500000US01019,"Cherokee County, Alabama",21189,,50769,31360,,01019,AL
0500000US01021,"Chilton County, Alabama",35476,,61873,30032,,01021,AL
0500000US01023,"Choctaw County, Alabama",10376,,44483,26781,,01023,AL
0500000US01025,"Clarke County, Alabama",18497,,49167,31101,,01025,AL
0500000US01027,"Clay County, Alabama",11542,,51852,29268,,01027,AL
0500000US01029,"Cleburne County, Alabama",12384,,53319,29569,,01029,AL
0500000US01031,"Coffee County, Alabama",42821,,64672,32757,,01031,AL
0500000US01033,"Colbert County, Alabama",46791,,56736,32685,,01033,AL
0500000US01035,"Conecuh County, Alabama",9391,,42266,26323,,01035,AL
0500000US01037,"Coosa County, Alabama",8752,,57063,29035,,01037,AL
0500000US01039,"Covington County, Alabama",30235,,50886,30151,,01039,AL
0500000US01041,"Crenshaw County, Alabama",10520,,49040,30321,,01041,AL
0500000US01043,"Cullman County, Alabama",71682,,60916,30977,,01043,AL
0500000US01045,"Dale County, Alabama",39224,,53955,29344,,01045,AL
0500000US01047,"Dallas County, Alabama",29643,,36810,24368,,01047,AL
0500000US01049,"DeKalb County, Alabama",56499,,51149,25274,,01049,AL
0500000US01051,"Elmore County, Alabama",71576,,75553,36616,,01051,AL
0500000US01053,"Escambia County, Alabama",29350,,44447,22916,,01053,AL
0500000US01055,"Etowah County, Alabama",83351,,53070,29553,,01055,AL
0500000US01057,"Fayette County, Alabama",13235,,50733,27734,,01057,AL
0500000US01059,"Franklin County, Alabama",24865,,51493,26036,,01059,AL
0500000US01061,"Geneva County, Alabama",21426,,50951,26880,,01061,AL
0500000US01063,"Greene County, Alabama",6108,,31495,20372,,01063,AL
0500000US01065,"Hale County, Alabama",11517,,41325,26024,,01065,AL
0500000US01067,"Henry County, Alabama",14280,,60135,31809,,01067,AL
0500000US01069,"Houston County, Alabama",85535,,57531,33053,,01069,AL
0500000US01071,"Jackson County, Alabama",43210,,49454,28452,,01071,AL
0500000US01073,"Jefferson County, Alabama",533233,,64589,39826,,01073,AL
0500000US01075,"Lamar County, Alabama",10986,,47447,24169,,01075,AL
0500000US01077,"Lauderdale County, Alabama",78274,,59082,33595,,01077,AL
0500000US01079,"Lawrence County, Alabama",26762,,60040,31189,,01079,AL
0500000US01081,"Lee County, Alabama",144668,,61123,34504,,01081,AL
0500000US01083,"Limestone County, Alabama",86785,,83534,39587,,01083,AL
0500000US01085,"Lowndes County, Alabama",8041,,35160,24965,,01085,AL
0500000US01087,"Macon County, Alabama",16337,,45951,24595,,01087,AL
0500000US01089,"Madison County, Alabama",320186,,83528,46784,,01089,AL
0500000US01091,"Marengo County, Alabama",15277,,44205,27957,,01091,AL
0500000US01093,"Marion County, Alabama",23867,,50714,26555,,01093,AL
0500000US01095,"Marshall County, Alabama",75978,,60946,31025,,01095,AL
0500000US01097,"Mobile County, Alabama",327288,,58119,32032,,01097,AL
0500000US01099,"Monroe County, Alabama",15983,,40225,23470,,01099,AL
0500000US01101,"Montgomery County, Alabama",178713,,58153,33404,,01101,AL
0500000US01103,"Morgan County, Alabama",98199,,64858,34510,,01103,AL
0500000US01105,"Perry County, Alabama",6685,,34368,16960,,01105,AL
0500000US01107,"Pickens County, Alabama",15645,,47014,26328,,01107,AL
0500000US01109,"Pike County, Alabama",27417,,47961,27762,,01109,AL
0500000US01111,"Randolph County, Alabama",17999,,51551,29488,,01111,AL
0500000US01113,"Russell County, Alabama",45948,,50046,27383,,01113,AL
0500000US01115,"St. Clair County, Alabama",74730,,78993,34937,,01115,AL
0500000US01117,"Shelby County, Alabama",181376,,93543,47914,,01117,AL
0500000US01119,"Sumter County, Alabama",9923,,37981,19854,,01119,AL
0500000US01121,"Talladega County, Alabama",66061,,56249,29774,,01121,AL
0500000US01123,"Tallapoosa County, Alabama",33752,,57185,31718,,01123,AL
0500000US01125,"Tuscaloosa County, Alabama",190799,,63947,33674,,01125,AL
0500000US01127,"Walker County, Alabama",51973,,54509,28706,,01127,AL
0500000US01129,"Washington County, Alabama",12560,,60503,31555,,01129,AL
0500000US01131,"Wilcox County, Alabama",8268,,42236,23366,,01131,AL
0500000US01133,"Winston County, Alabama",19489,,48032,27258,,01133,AL
0500000US13001,"Appling County, Georgia",14395,,43728,25218,,13001,GA
0500000US13003,"Atkinson County, Georgia",6380,,38438,23886,,13003,GA
0500000US13005,"Bacon County, Georgia",8722,,50310,25969,,13005,GA
0500000US13007,"Baker County, Georgia",2343,,44405,25017,,13007,GA
0500000US13009,"Baldwin County, Georgia",36630,,55413,32573,,13009,GA
0500000US13011,"Banks County, Georgia",15218,,68830,32088,,13011,GA
0500000US13013,"Barrow County, Georgia",67519,,77477,31914,,13013,GA
0500000US13015,"Bartow County, Georgia",88016,,79431,33951,,13015,GA
0500000US13017,"Ben Hill County, Georgia",13461,,39081,23099,,13017,GA
0500000US13019,"Berrien County, Georgia",14501,,50414,26263,,13019,GA
0500000US13021,"Bibb County, Georgia",122194,,50747,31306,,13021,GA
0500000US13023,"Bleckley County, Georgia",10272,,53005,29677,,13023,GA
0500000US13025,"Brantley County, Georgia",14635,,47801,25293,,13025,GA
0500000US13027,"Brooks County, Georgia",13206,,47656,27303,,13027,GA
0500000US13029,"Bryan County, Georgia",34685,,94234,42576,,13029,GA
0500000US13031,"Bulloch County, Georgia",66867,,56832,30450,,13031,GA
0500000US13033,"Burke County, Georgia",19220,,50739,31580,,13033,GA
0500000US13035,"Butts County, Georgia",21287,,59221,27924,,13035,GA
0500000US13037,"Calhoun County, Georgia",4789,,55714,19913,,13037,GA
0500000US13039,"Camden County, Georgia",44081,,72399,34401,,13039,GA
0500000US13043,"Candler County, Georgia",8634,,50431,25898,,13043,GA
0500000US13045,"Carroll County, Georgia",96480,,72327,32201,,13045,GA
0500000US13047,"Catoosa County, Georgia",55026,,72425,35382,,13047,GA
0500000US13049,"Charlton County, Georgia",10745,,48534,24015,,13049,GA
0500000US13051,"Chatham County, Georgia",242456,,69575,38920,,13051,GA
0500000US13053,"Chattahoochee County, Georgia",7510,,59221,26920,,13053,GA
0500000US13055,"Chattooga County, Georgia",20080,,47785,23391,,13055,GA
0500000US13057,"Cherokee County, Georgia",218247,,105442,47337,,13057,GA
0500000US13059,"Clarke County, Georgia",109402,,52267,31915,,13059,GA
0500000US13061,"Clay County, Georgia",2458,,48715,29009,,13061,GA
0500000US13063,"Clayton County, Georgia",227017,,58507,26826,,13063,GA
0500000US13065,"Clinch County, Georgia",5298,,55549,24906,,13065,GA
0500000US13067,"Cobb County, Georgia",614780,,98712,50975,,13067,GA
0500000US13069,"Coffee County, Georgia",33633,,50175,23567,,13069,GA
0500000US13071,"Colquitt County, Georgia",35525,,49691,27073,,13071,GA
0500000US13073,"Columbia County, Georgia",124655,,96122,42457,,13073,GA
0500000US13075,"Cook County, Georgia",13428,,50133,25003,,13075,GA
0500000US13077,"Coweta County, Georgia",119388,,94142,43281,,13077,GA
0500000US13079,"Crawford County, Georgia",9982,,60905,32796,,13079,GA
0500000US13081,"Crisp County, Georgia",15799,,42745,28062,,13081,GA
0500000US13083,"Dade County, Georgia",13317,,58936,32865,,13083,GA
0500000US13085,"Dawson County, Georgia",23753,,88986,43291,,13085,GA
0500000US13087,"Decatur County, Georgia",22651,,50485,26544,,13087,GA
0500000US13089,"DeKalb County, Georgia",605413,,77683,45544,,13089,GA
0500000US13091,"Dodge County, Georgia",16607,,50152,24702,,13091,GA
0500000US13093,"Dooly County, Georgia",9534,,56545,27078,,13093,GA
0500000US13095,"Dougherty County, Georgia",66124,,46784,27125,,13095,GA
0500000US13097,"Douglas County, Georgia",113844,,80764,35070,,13097,GA
0500000US13099,"Early County, Georgia",8339,,53750,26879,,13099,GA
0500000US13101,"Echols County, Georgia",2820,,61723,25653,,13101,GA
0500000US13103,"Effingham County, Georgia",51139,,85465,37841,,13103,GA
0500000US13105,"Elbert County, Georgia",15829,,49727,28743,,13105,GA
0500000US13107,"Emanuel County, Georgia",17896,,50053,24356,,13107,GA
0500000US13109,"Evans County, Georgia",8217,,53908,26995,,13109,GA
0500000US13111,"Fannin County, Georgia",22172,,58073,38719,,13111,GA
0500000US13113,"Fayette County, Georgia",97257,,108986,52188,,13113,GA
0500000US13115,"Floyd County, Georgia",78855,,62540,32628,,13115,GA
0500000US13117,"Forsyth County, Georgia",200586,,138000,55936,,13117,GA
0500000US13119,"Franklin County, Georgia",19368,,52264,29576,,13119,GA
0500000US13121,"Fulton County, Georgia",869503,,91490,61438,,13121,GA
0500000US13123,"Gilmer County, Georgia",26588,,72542,34175,,13123,GA
0500000US13125,"Glascock County, Georgia",2339,,55250,26537,,13125,GA
0500000US13127,"Glynn County, Georgia",69052,,68546,41042,,13127,GA
0500000US13129,"Gordon County, Georgia",46058,,61997,31642,,13129,GA
0500000US13131,"Grady County, Georgia",20273,,54312,28055,,13131,GA
0500000US13133,"Greene County, Georgia",16654,,84530,56767,,13133,GA
0500000US13135,"Gwinnett County, Georgia",743477,,84823,37588,,13135,GA
0500000US13137,"Habersham County, Georgia",37861,,65622,30661,,13137,GA
0500000US13139,"Hall County, Georgia",163982,,77430,37271,,13139,GA
0500000US13141,"Hancock County, Georgia",7499,,33182,19305,,13141,GA
0500000US13143,"Haralson County, Georgia",24254,,65016,32715,,13143,GA
0500000US13145,"Harris County, Georgia",28885,,89184,42883,,13145,GA
0500000US13147,"Hart County, Georgia",21720,,57241,31280,,13147,GA
0500000US13149,"Heard County, Georgia",9341,,62907,32800,,13149,GA
0500000US13151,"Henry County, Georgia",192175,,81612,36051,,13151,GA
0500000US13153,"Houston County, Georgia",129377,,80743,36079,,13153,GA
0500000US13155,"Irwin County, Georgia",7684,,53915,27128,,13155,GA
0500000US13157,"Jackson County, Georgia",62598,,85012,35704,,13157,GA
0500000US13159,"Jasper County, Georgia",12209,,59574,31661,,13159,GA
0500000US13161,"Jeff Davis County, Georgia",11479,,40879,23844,,13161,GA
0500000US13163,"Jefferson County, Georgia",12315,,46561,25591,,13163,GA
0500000US13165,"Jenkins County, Georgia",7243,,36906,21473,,13165,GA
0500000US13167,"Johnson County, Georgia",7698,,54183,24652,,13167,GA
0500000US13169,"Jones County, Georgia",22789,,68259,33522,,13169,GA
0500000US13171,"Lamar County, Georgia",15632,,68457,33389,,13171,GA
0500000US13173,"Lanier County, Georgia",8073,,44361,25150,,13173,GA
0500000US13175,"Laurens County, Georgia",38758,,49705,29642,,13175,GA
0500000US13177,"Lee County, Georgia",25983,,88024,37641,,13177,GA
0500000US13179,"Liberty County, Georgia",49840,,59013,27648,,13179,GA
0500000US13181,"Lincoln County, Georgia",6492,,50688,28988,,13181,GA
0500000US13183,"Long County, Georgia",13249,,64747,26766,,13183,GA
0500000US13185,"Lowndes County, Georgia",93057,,55887,29757,,13185,GA
0500000US13187,"Lumpkin County, Georgia",28850,,72388,36037,,13187,GA
0500000US13189,"McDuffie County, Georgia",16947,,54058,28071,,13189,GA
0500000US13191,"McIntosh County, Georgia",9619,,50348,29599,,13191,GA
0500000US13193,"Macon County, Georgia",10004,,37177,26030,,13193,GA
0500000US13195,"Madison County, Georgia",24588,,58784,28436,,13195,GA
0500000US13197,"Marion County, Georgia",6091,,50484,27096,,13197,GA
0500000US13199,"Meriwether County, Georgia",16802,,56458,27400,,13199,GA
0500000US13201,"Miller County, Georgia",4628,,58407,32027,,13201,GA
0500000US13205,"Mitchell County, Georgia",17020,,51908,25820,,13205,GA
0500000US13207,"Monroe County, Georgia",23623,,82863,43106,,13207,GA
0500000US13209,"Montgomery County, Georgia",7071,,51188,27633,,13209,GA
0500000US13211,"Morgan County, Georgia",16711,,85692,40661,,13211,GA
0500000US13213,"Murray County, Georgia",31927,,67880,30205,,13213,GA
0500000US13215,"Muscogee County, Georgia",158579,,56622,32811,,13215,GA
0500000US13217,"Newton County, Georgia",89265,,73732,31537,,13217,GA
0500000US13219,"Oconee County, Georgia",33175,,115925,55741,,13219,GA
0500000US13221,"Oglethorpe County, Georgia",12237,,69784,32062,,13221,GA
0500000US13223,"Paulding County, Georgia",135264,,94557,36776,,13223,GA
0500000US13225,"Peach County, Georgia",22939,,68365,33624,,13225,GA
0500000US13227,"Pickens County, Georgia",28545,,75293,38359,,13227,GA
0500000US13229,"Pierce County, Georgia",15660,,56691,29266,,13229,GA
0500000US13231,"Pike County, Georgia",15499,,84184,36105,,13231,GA
0500000US13233,"Polk County, Georgia",33512,,55308,27807,,13233,GA
0500000US13235,"Pulaski County, Georgia",8399,,47688,24849,,13235,GA
0500000US13237,"Putnam County, Georgia",18856,,64163,42671,,13237,GA
0500000US13239,"Quitman County, Georgia",1906,,36838,24325,,13239,GA
0500000US13241,"Rabun County, Georgia",14641,,61466,38315,,13241,GA
0500000US13243,"Randolph County, Georgia",4702,,25425,21280,,13243,GA
0500000US13245,"Richmond County, Georgia",163638,,53197,30209,,13245,GA
0500000US13247,"Rockdale County, Georgia",74965,,72349,34548,,13247,GA
0500000US13249,"Schley County, Georgia",3637,,59647,30176,,13249,GA
0500000US13251,"Screven County, Georgia",11360,,53017,29121,,13251,GA
0500000US13253,"Seminole County, Georgia",7521,,49559,29184,,13253,GA
0500000US13255,"Spalding County, Georgia",54196,,60217,36803,,13255,GA
0500000US13257,"Stephens County, Georgia",21692,,52264,27521,,13257,GA
0500000US13259,"Stewart County, Georgia",4479,,35000,21024,,13259,GA
0500000US13261,"Sumter County, Georgia",23025,,41877,24439,,13261,GA
0500000US13263,"Talbot County, Georgia",4910,,45098,28737,,13263,GA
0500000US13265,"Taliaferro County, Georgia",1461,,48036,24228,,13265,GA
0500000US13267,"Tattnall County, Georgia",19896,,52351,21462,,13267,GA
0500000US13269,"Taylor County, Georgia",6400,,41743,25791,,13269,GA
0500000US13271,"Telfair County, Georgia",9652,,44948,17226,,13271,GA
0500000US13273,"Terrell County, Georgia",7000,,43812,24665,,13273,GA
0500000US13275,"Thomas County, Georgia",35967,,60140,33284,,13275,GA
0500000US13277,"Tift County, Georgia",32200,,53165,29381,,13277,GA
0500000US13279,"Toombs County, Georgia",20567,,54130,27940,,13279,GA
0500000US13281,"Towns County, Georgia",11345,,58400,39773,,13281,GA
0500000US13283,"Treutlen County, Georgia",5131,,43750,25728,,13283,GA
0500000US13285,"Troup County, Georgia",54472,,54905,31830,,13285,GA
0500000US13287,"Turner County, Georgia",6858,,39565,23275,,13287,GA
0500000US13289,"Twiggs County, Georgia",6617,,55439,32037,,13289,GA
0500000US13291,"Union County, Georgia",22200,,65697,40312,,13291,GA
0500000US13293,"Upson County, Georgia",22140,,50904,29772,,13293,GA
0500000US13295,"Walker County, Georgia",55378,,55887,30482,,13295,GA
0500000US13297,"Walton County, Georgia",79247,,82381,36752,,13297,GA
0500000US13299,"Ware County, Georgia",27881,,44833,23550,,13299,GA
0500000US13301,"Warren County, Georgia",4196,,46776,24793,,13301,GA
0500000US13303,"Washington County, Georgia",16165,,44009,24825,,13303,GA
0500000US13305,"Wayne County, Georgia",23998,,49562,25077,,13305,GA
0500000US13307,"Webster County, Georgia",2031,,40764,25407,,13307,GA
0500000US13309,"Wheeler County, Georgia",6470,,45262,19272,,13309,GA
0500000US13311,"White County, Georgia",23695,,69747,34519,,13311,GA
0500000US13313,"Whitfield County, Georgia",80065,,64262,30593,,13313,GA
0500000US13315,"Wilcox County, Georgia",7306,,48036,21028,,13315,GA
0500000US13317,"Wilkes County, Georgia",7733,,52542,30123,,13317,GA
0500000US13319,"Wilkinson County, Georgia",7132,,46673,25742,,13319,GA
0500000US13321,"Worth County, Georgia",16410,,57201,28059,,13321,GA
0500000US45001,"Abbeville County, South Carolina",20166,,52112,30650,,45001,SC
0500000US45003,"Aiken County, South Carolina",138754,,67940,36627,,45003,SC
0500000US45005,"Allendale County, South Carolina",6479,,31603,23057,,45005,SC
0500000US45007,"Anderson County, South Carolina",165564,,64683,34923,,45007,SC
0500000US45009,"Bamberg County, South Carolina",11020,,43206,22182,,45009,SC
0500000US45011,"Barnwell County, South Carolina",16328,,41800,26141,,45011,SC
0500000US45013,"Beaufort County, South Carolina",162384,,84819,51657,,45013,SC
0500000US45015,"Berkeley County, South Carolina",188309,,82327,39727,,45015,SC
0500000US45017,"Calhoun County, South Carolina",11852,,56690,32567,,45017,SC
0500000US45019,"Charleston County, South Carolina",341983,,84320,54769,,45019,SC
0500000US45021,"Cherokee County, South Carolina",44741,,49047,27175,,45021,SC
0500000US45023,"Chester County, South Carolina",25979,,51216,27656,,45023,SC
0500000US45025,"Chesterfield County, South Carolina",34978,,47620,28363,,45025,SC
0500000US45027,"Clarendon County, South Carolina",26071,,48887,28289,,45027,SC
0500000US45029,"Colleton County, South Carolina",30861,,48779,27859,,45029,SC
0500000US45031,"Darlington County, South Carolina",50549,,47419,30281,,45031,SC
0500000US45033,"Dillon County, South Carolina",21726,,44038,23016,,45033,SC
0500000US45035,"Dorchester County, South Carolina",129632,,76896,37279,,45035,SC
0500000US45037,"Edgefield County, South Carolina",22492,,67092,32802,,45037,SC
0500000US45039,"Fairfield County, South Carolina",17467,,46972,32111,,45039,SC
0500000US45041,"Florence County, South Carolina",108325,,56650,31803,,45041,SC
0500000US45043,"Georgetown County, South Carolina",54327,,66734,43928,,45043,SC
0500000US45045,"Greenville County, South Carolina",427839,,74624,42299,,45045,SC
0500000US45047,"Greenwood County, South Carolina",55264,,50635,31018,,45047,SC
0500000US45049,"Hampton County, South Carolina",15109,,43059,25082,,45049,SC
0500000US45051,"Horry County, South Carolina",312808,,64623,36572,,45051,SC
0500000US45053,"Jasper County, South Carolina",25303,,63503,32505,,45053,SC
0500000US45055,"Kershaw County, South Carolina",53117,,64343,34250,,45055,SC
0500000US45057,"Lancaster County, South Carolina",81631,,74751,41492,,45057,SC
0500000US45059,"Laurens County, South Carolina",54414,,55517,28728,,45059,SC
0500000US45061,"Lee County, South Carolina",13576,,44145,24133,,45061,SC
0500000US45063,"Lexington County, South Carolina",238740,,75014,38807,,45063,SC
0500000US45065,"McCormick County, South Carolina",8819,,55344,33437,,45065,SC
0500000US45067,"Marion County, South Carolina",23223,,34501,22676,,45067,SC
0500000US45069,"Marlboro County, South Carolina",21688,,36293,22016,,45069,SC
0500000US45071,"Newberry County, South Carolina",30783,,59670,33073,,45071,SC
0500000US45073,"Oconee County, South Carolina",66246,,60193,37575,,45073,SC
0500000US45075,"Orangeburg County, South Carolina",67452,,43214,25682,,45075,SC
0500000US45077,"Pickens County, South Carolina",110523,,59411,33075,,45077,SC
0500000US45079,"Richland County, South Carolina",338962,,61699,37190,,45079,SC
0500000US45081,"Saluda County, South Carolina",15430,,52957,29590,,45081,SC
0500000US45083,"Spartanburg County, South Carolina",268586,,64195,33427,,45083,SC
0500000US45085,"Sumter County, South Carolina",82564,,55990,29372,,45085,SC
0500000US45087,"Union County, South Carolina",21920,,41200,26723,,45087,SC
0500000US45089,"Williamsburg County, South Carolina",25182,,43471,24533,,45089,SC
0500000US45091,"York County, South Carolina",227699,,83060,43442,,45091,SC
